AMOI	夏新
ATT	ATT
Android	安卓
BIRD	波导
BOVO	博沃
BlackBerry	黑莓
CUBE	酷比魔方
ChinaTelecom	电信
CoolPad	酷派
Coolpad	酷派
DESAY	德赛
Fadar	锋达通
GFIVE	基伍
GO	青橙
GiONEE	金立
HIKe	海客
HISENSE	海信
HUAWEI	华为
Haier	海尔
Hasee	神舟
Hisense	海信
Huawei	华为
IFive	五元素
K-Touch	天语
Kaopu001	Kaopu001
LA2-T	语信
Lenovo	联想
M2	小米
MOFUT	美富通
MOTO	摩托罗拉
MUCH	摩奇
OPPO	oppo
OPSSON	欧博信
POMP	盛况
POULO	菠萝
Ramos	蓝魔
Readboy_G50	读书郎
Samsung	三星
Sony	索尼
Spreadtrum	展讯
TCL	TCL
TCL_Y910T	tcl
TCT	硬质合金
TECLAST	台电
ThL	糖葫芦
VEGA	泛泰
VIEWSONIC	优派
W2	w2
YOORD	优尔得
YUSUN	语信
Yusun	语信
ZOPO	卓普
ZTE	中兴
alps	阿尔卑斯
asus	华硕
bohp_P6G	金讯宏盛
chunghwa	中华
epade	易派
generic	generic
gfive	基伍
htc	htc
htc_asia_wwe	htc
htc_europe	htc
htccn_chs_ct	htc
htccn_chs_cu	htc
iPad	ipad
infocus	富可视
lenovo	联想
lge	lg
motorola	摩托罗拉
neken	neken
qcom	QCOM
rk30sdk	原道
samsung	三星
sprd	SPRD
teclast	台电
u18	酷比魔方
vivo	vivo
LAN-1	LAN-1
LOVME	爱我
Lan998	Lan998
Meizu	魅族
SAMSUNG	三星
SEMC	索尼
Teclast	台电
VIDO	原道
VOTO	维图
nubia	努比亚
yusu	yusu
100jia	100+
Bambookphone	盛大
EOOM	亿美
LENOVO	联想
MM1103	小杨树
SmartQ	智器
Xiaomi	小米
htccn_chs	htc
DAKELE	大可乐
EVERCOSS	EVERCOSS
HASEE	神舟
JIAYU	佳域
Retail_WG	Retail_WG
google	谷歌
htc_wwe	htc
htccn_chs_cmcc	htc
iPhone	iphone
ibluebo	蓝天信
FMEE	飞秒
soaiy	索爱
MID	MID
OUKI	欧奇
iOCEAN	欧盛
M3X	M3X
hkcsl_cht	hkcsl_cht
Changhong	长虹
KDDI	KDDI
MParty	派对
Motorola	摩托罗拉
Readboy_G30	Readboy_G30
SAGA	传奇
SKY	泛泰
UMI_X2	UMI_X2
haier	海尔
jsr	JSR
koobee	酷比
oneplus	一加
rk2928sdk	rk2928sdk
thl	thl
AUX	辅助
Amazon	亚马逊
BOKAIEN	博凯恩
Charmpin	节操
Disney	迪士尼
Google	谷歌
Honor	企业荣誉
JINMAN	金满
Loobee	loobee
Newman	纽曼
Nokia	诺基亚
Nubia	努比亚
T-smart	T智能
htc_asia_hk	htc
htc_asia_tw	htc
moto	摩托罗拉
onda	昂达
Amison	amison
BOWAY	邦华
CMCC	中国移动
DOOV_D7	朵唯
EASTCOM	东信
GIONEE	金立
LAN	lan
Meitu	美图
PLOYER	普耐尔
Philips	飞利浦
SUNING	苏宁
Sharp	夏普
T5585	T5585
YEPEN-XG	誉品
custom\version	OPPO
softwinners	索爱
CloudROM	CloudROM
IUNI	IUNI
K-TOUCH	天语
LenovoA750	LenovoA750
NOAIN	NOAIN
ONDA	昂达
READPHONE	斐讯
REDGOO	REDGOO
Uniscope	优思
ViewSonic	优派
android	安卓
dell	戴尔
hp	惠普
huawei	华为
luftco	龙酷
shooteru	htc
tp	TP
unknown	未知
DOOV	doov
EBEST	E派
ETON	亿通
RTGB	摩托罗拉
RTIRD	RTIRD
TeclastTabletPC	台电
Vollo	唯乐
customversion	oppo
nvidia	NVIDIA
orange_fr	orange_fr
verizon	verizon
yulong	酷派
3GNET	庆邦
COOL-BEAR	酷熊
hasee(aips)	神舟
HXTONG	hxtong
IUSAI	欧博信
Mlais	美莱仕
ONEPLUS	一加
ZX6788	中轴线
ARES	奥洛斯
R1	r1
Colorfly	丽彩飞扬
XIAOMI	小米
htccn_chs_cmcc_2	htc
ipad air	ipad
